scan_round,peptide_length,backbone_file,archived_path,source_path,candidate_id
RF_round1,15,GCGR_0.pdb,results/structures/length_scan/round1_length_12_17/GCGR_0.pdb,test_lenghtscan/GCGR_0.pdb,GCGR_0
RF_round1,16,GCGR_1.pdb,results/structures/length_scan/round1_length_12_17/GCGR_1.pdb,test_lenghtscan/GCGR_1.pdb,GCGR_1
RF_round1,13,GCGR_10.pdb,results/structures/length_scan/round1_length_12_17/GCGR_10.pdb,test_lenghtscan/GCGR_10.pdb,
RF_round1,13,GCGR_11.pdb,results/structures/length_scan/round1_length_12_17/GCGR_11.pdb,test_lenghtscan/GCGR_11.pdb,
RF_round1,17,GCGR_12.pdb,results/structures/length_scan/round1_length_12_17/GCGR_12.pdb,test_lenghtscan/GCGR_12.pdb,
RF_round1,17,GCGR_13.pdb,results/structures/length_scan/round1_length_12_17/GCGR_13.pdb,test_lenghtscan/GCGR_13.pdb,
RF_round1,14,GCGR_14.pdb,results/structures/length_scan/round1_length_12_17/GCGR_14.pdb,test_lenghtscan/GCGR_14.pdb,GCGR_14
RF_round1,14,GCGR_15.pdb,results/structures/length_scan/round1_length_12_17/GCGR_15.pdb,test_lenghtscan/GCGR_15.pdb,
RF_round1,13,GCGR_16.pdb,results/structures/length_scan/round1_length_12_17/GCGR_16.pdb,test_lenghtscan/GCGR_16.pdb,
RF_round1,15,GCGR_17.pdb,results/structures/length_scan/round1_length_12_17/GCGR_17.pdb,test_lenghtscan/GCGR_17.pdb,
RF_round1,14,GCGR_18.pdb,results/structures/length_scan/round1_length_12_17/GCGR_18.pdb,test_lenghtscan/GCGR_18.pdb,
RF_round1,13,GCGR_19.pdb,results/structures/length_scan/round1_length_12_17/GCGR_19.pdb,test_lenghtscan/GCGR_19.pdb,
RF_round1,16,GCGR_2.pdb,results/structures/length_scan/round1_length_12_17/GCGR_2.pdb,test_lenghtscan/GCGR_2.pdb,GCGR_2
RF_round1,15,GCGR_20.pdb,results/structures/length_scan/round1_length_12_17/GCGR_20.pdb,test_lenghtscan/GCGR_20.pdb,
RF_round1,13,GCGR_21.pdb,results/structures/length_scan/round1_length_12_17/GCGR_21.pdb,test_lenghtscan/GCGR_21.pdb,
RF_round1,17,GCGR_22.pdb,results/structures/length_scan/round1_length_12_17/GCGR_22.pdb,test_lenghtscan/GCGR_22.pdb,GCGR_22
RF_round1,17,GCGR_23.pdb,results/structures/length_scan/round1_length_12_17/GCGR_23.pdb,test_lenghtscan/GCGR_23.pdb,
RF_round1,14,GCGR_24.pdb,results/structures/length_scan/round1_length_12_17/GCGR_24.pdb,test_lenghtscan/GCGR_24.pdb,
RF_round1,13,GCGR_25.pdb,results/structures/length_scan/round1_length_12_17/GCGR_25.pdb,test_lenghtscan/GCGR_25.pdb,
RF_round1,15,GCGR_26.pdb,results/structures/length_scan/round1_length_12_17/GCGR_26.pdb,test_lenghtscan/GCGR_26.pdb,GCGR_26
RF_round1,12,GCGR_27.pdb,results/structures/length_scan/round1_length_12_17/GCGR_27.pdb,test_lenghtscan/GCGR_27.pdb,
RF_round1,13,GCGR_28.pdb,results/structures/length_scan/round1_length_12_17/GCGR_28.pdb,test_lenghtscan/GCGR_28.pdb,
RF_round1,15,GCGR_29.pdb,results/structures/length_scan/round1_length_12_17/GCGR_29.pdb,test_lenghtscan/GCGR_29.pdb,
RF_round1,15,GCGR_3.pdb,results/structures/length_scan/round1_length_12_17/GCGR_3.pdb,test_lenghtscan/GCGR_3.pdb,
RF_round1,15,GCGR_30.pdb,results/structures/length_scan/round1_length_12_17/GCGR_30.pdb,test_lenghtscan/GCGR_30.pdb,GCGR_30
RF_round1,16,GCGR_31.pdb,results/structures/length_scan/round1_length_12_17/GCGR_31.pdb,test_lenghtscan/GCGR_31.pdb,GCGR_31
RF_round1,13,GCGR_32.pdb,results/structures/length_scan/round1_length_12_17/GCGR_32.pdb,test_lenghtscan/GCGR_32.pdb,
RF_round1,14,GCGR_33.pdb,results/structures/length_scan/round1_length_12_17/GCGR_33.pdb,test_lenghtscan/GCGR_33.pdb,
RF_round1,16,GCGR_34.pdb,results/structures/length_scan/round1_length_12_17/GCGR_34.pdb,test_lenghtscan/GCGR_34.pdb,
RF_round1,12,GCGR_35.pdb,results/structures/length_scan/round1_length_12_17/GCGR_35.pdb,test_lenghtscan/GCGR_35.pdb,
RF_round1,17,GCGR_36.pdb,results/structures/length_scan/round1_length_12_17/GCGR_36.pdb,test_lenghtscan/GCGR_36.pdb,
RF_round1,17,GCGR_37.pdb,results/structures/length_scan/round1_length_12_17/GCGR_37.pdb,test_lenghtscan/GCGR_37.pdb,GCGR_37
RF_round1,16,GCGR_38.pdb,results/structures/length_scan/round1_length_12_17/GCGR_38.pdb,test_lenghtscan/GCGR_38.pdb,
RF_round1,12,GCGR_39.pdb,results/structures/length_scan/round1_length_12_17/GCGR_39.pdb,test_lenghtscan/GCGR_39.pdb,
RF_round1,17,GCGR_4.pdb,results/structures/length_scan/round1_length_12_17/GCGR_4.pdb,test_lenghtscan/GCGR_4.pdb,
RF_round1,17,GCGR_40.pdb,results/structures/length_scan/round1_length_12_17/GCGR_40.pdb,test_lenghtscan/GCGR_40.pdb,
RF_round1,14,GCGR_41.pdb,results/structures/length_scan/round1_length_12_17/GCGR_41.pdb,test_lenghtscan/GCGR_41.pdb,
RF_round1,16,GCGR_42.pdb,results/structures/length_scan/round1_length_12_17/GCGR_42.pdb,test_lenghtscan/GCGR_42.pdb,
RF_round1,16,GCGR_43.pdb,results/structures/length_scan/round1_length_12_17/GCGR_43.pdb,test_lenghtscan/GCGR_43.pdb,
RF_round1,13,GCGR_44.pdb,results/structures/length_scan/round1_length_12_17/GCGR_44.pdb,test_lenghtscan/GCGR_44.pdb,
RF_round1,16,GCGR_45.pdb,results/structures/length_scan/round1_length_12_17/GCGR_45.pdb,test_lenghtscan/GCGR_45.pdb,
